iter	Accuracy	Logloss
0	0.8418688575	0.5960796715
1	0.8490095209	0.5225727492
2	0.8504299754	0.470739377
3	0.8528485872	0.4298180836
4	0.8534628378	0.3982278157
5	0.8534628378	0.3798881025
6	0.855958231	0.3617232372
7	0.8572635135	0.3501249869
8	0.859144656	0.3395601858
9	0.8606802826	0.3312301686
10	0.8618703931	0.3257990585
11	0.8616784398	0.3204625398
12	0.8619087838	0.3158025567
13	0.8628301597	0.3118964683
14	0.8632908477	0.3092704964
15	0.8640970516	0.3063623294
16	0.8652871622	0.3036285993
17	0.8664772727	0.3007131871
18	0.8674370393	0.2984138592
19	0.8678209459	0.2966391734
20	0.8688191032	0.2937735361
21	0.8699324324	0.2914851045
22	0.8703163391	0.2899077496
23	0.8705850737	0.2888068191
24	0.8718519656	0.2870407071
25	0.8727349509	0.2856143829
26	0.8731188575	0.2844388552
27	0.8736563268	0.2838282968
28	0.8739634521	0.2825837335
29	0.8742321867	0.2812460575
30	0.8741937961	0.2806256333
31	0.874769656	0.2797804023
32	0.8755374693	0.2781766726
33	0.8759981572	0.2775180127
34	0.8764204545	0.2768017621
35	0.8767275799	0.2758749632
36	0.8768427518	0.2748622336
37	0.8771498771	0.2741545623
38	0.8770730958	0.2741078327
39	0.8775337838	0.2732906531
40	0.8780712531	0.2723157942
41	0.8782632064	0.2717893194
42	0.8786087224	0.271328797
43	0.8785703317	0.2712230854
44	0.8790310197	0.2702782221
45	0.8792613636	0.2696648124
46	0.8794917076	0.2689139243
47	0.8798756143	0.2682215017
48	0.8799140049	0.2677370561
49	0.8811041155	0.2667844012
50	0.8812192875	0.2663596623
51	0.8815264128	0.2656774908
52	0.8817183661	0.2651478588
53	0.8818719287	0.2645338516
54	0.8824477887	0.2639501288
55	0.8823710074	0.2638735137
56	0.882639742	0.2634290952
57	0.8828316953	0.2629055354
58	0.8830236486	0.2624498252
59	0.8830236486	0.2619947383
60	0.8838298526	0.261539968
61	0.8837530713	0.2607829923
62	0.8839834152	0.2605662355
63	0.8840218059	0.2605238234
64	0.8844824939	0.2598222555
65	0.8845976658	0.2594631721
66	0.8846744472	0.2587623025
67	0.8852119165	0.2585110224
68	0.8853654791	0.2580576319
69	0.8860181204	0.2573504603
70	0.8860949017	0.2570858481
71	0.8860949017	0.2570763286
72	0.886977887	0.2561189691
73	0.8875921376	0.2553619985
74	0.8874769656	0.2553440373
75	0.8877457002	0.2549210841
76	0.8877840909	0.2549151482
77	0.8876689189	0.254310321
78	0.8882447789	0.2537794803
79	0.8883215602	0.2531400252
80	0.8883215602	0.2531257606
81	0.8885519042	0.2525922929
82	0.8889742015	0.2522419442
83	0.8892813268	0.2518064254
84	0.8895500614	0.2512088278
85	0.8898955774	0.2504523732
86	0.8899723587	0.2501839352
87	0.8900875307	0.2499027419
88	0.890279484	0.2496029539
