iter	Passed	Remaining
0	23	11885
1	43	10831
2	66	10958
3	89	11061
4	112	11125
5	124	10285
6	149	10513
7	172	10597
8	196	10736
9	221	10847
10	247	10983
11	268	10934
12	294	11030
13	318	11049
14	343	11094
15	365	11044
16	389	11074
17	413	11079
18	438	11091
19	460	11052
20	485	11080
21	510	11086
22	535	11100
23	558	11068
24	581	11057
25	592	10800
26	617	10809
27	639	10781
28	664	10790
29	687	10765
30	711	10761
31	734	10739
32	758	10739
33	781	10715
34	806	10716
35	831	10723
36	855	10706
37	880	10700
38	890	10528
39	915	10531
40	939	10519
41	965	10531
42	991	10535
43	999	10359
44	1022	10337
45	1049	10358
46	1074	10354
47	1099	10353
48	1126	10364
49	1150	10355
50	1177	10368
51	1202	10362
52	1227	10354
53	1253	10356
54	1278	10348
55	1290	10229
56	1315	10226
57	1340	10219
58	1365	10207
59	1389	10192
60	1414	10178
61	1440	10173
62	1447	10042
63	1456	9925
64	1480	9906
65	1491	9806
66	1516	9802
67	1538	9776
68	1570	9807
69	1601	9835
70	1624	9816
71	1631	9696
72	1656	9687
73	1679	9670
74	1686	9555
75	1712	9554
76	1720	9449
77	1744	9439
78	1769	9429
79	1792	9412
80	1803	9331
81	1829	9325
82	1854	9319
83	1881	9316
84	1906	9306
85	1930	9292
86	1958	9297
87	1983	9287
88	2008	9277
89	2033	9262
90	2059	9255
91	2083	9237
92	2104	9211
93	2126	9184
94	2151	9173
95	2177	9162
96	2200	9142
97	2226	9133
98	2251	9118
99	2273	9095
100	2297	9075
101	2322	9061
102	2345	9040
103	2371	9030
104	2395	9012
105	2421	9000
106	2446	8987
107	2472	8975
108	2498	8962
109	2525	8955
110	2552	8944
111	2577	8930
112	2602	8914
113	2628	8898
114	2652	8879
115	2677	8864
116	2704	8852
117	2729	8837
118	2753	8817
119	2781	8807
120	2807	8792
121	2833	8779
122	2857	8758
123	2884	8745
124	2909	8728
125	2938	8720
126	2962	8699
127	2985	8676
128	3009	8656
129	3034	8636
130	3058	8614
131	3081	8592
132	3108	8578
133	3135	8563
134	3160	8545
135	3185	8525
136	3212	8511
137	3237	8492
138	3262	8474
139	3286	8451
140	3313	8435
141	3339	8419
142	3364	8399
143	3389	8380
144	3415	8361
145	3444	8352
146	3470	8333
147	3498	8319
148	3524	8303
149	3550	8285
150	3576	8266
151	3602	8248
152	3625	8221
153	3652	8205
154	3679	8189
155	3704	8169
156	3734	8158
157	3759	8137
158	3785	8118
159	3812	8101
160	3839	8083
161	3863	8060
162	3886	8035
163	3913	8018
164	3939	7998
165	3966	7980
166	3989	7955
167	4013	7932
168	4039	7911
169	4068	7897
170	4100	7889
171	4128	7873
172	4156	7855
173	4181	7834
174	4208	7816
175	4234	7795
176	4261	7777
177	4287	7756
178	4315	7738
179	4341	7718
180	4367	7698
181	4395	7680
182	4420	7657
183	4447	7638
184	4476	7621
185	4500	7597
186	4524	7572
187	4551	7553
188	4578	7533
189	4604	7513
190	4631	7493
191	4657	7471
192	4684	7450
193	4711	7430
194	4736	7407
195	4759	7381
196	4785	7360
197	4812	7340
198	4839	7320
199	4865	7297
200	4890	7274
201	4912	7247
202	4937	7223
203	4964	7203
204	4992	7184
205	5015	7157
206	5040	7134
207	5065	7111
208	5094	7093
209	5122	7073
210	5150	7054
211	5177	7033
212	5202	7010
213	5229	6988
214	5256	6967
215	5283	6946
216	5311	6926
217	5337	6904
218	5363	6881
219	5386	6855
220	5413	6834
221	5440	6812
222	5470	6795
223	5495	6771
224	5521	6748
225	5547	6726
226	5574	6704
227	5602	6683
228	5628	6660
229	5654	6637
230	5680	6614
231	5705	6591
232	5730	6566
233	5755	6543
234	5780	6518
235	5809	6498
236	5835	6475
237	5860	6451
238	5882	6423
239	5907	6399
240	5933	6376
241	5967	6362
242	5994	6339
243	6018	6314
244	6043	6290
245	6074	6272
246	6103	6251
247	6128	6227
248	6154	6203
249	6179	6179
250	6206	6156
251	6231	6132
252	6271	6123
253	6298	6099
254	6324	6076
255	6350	6052
256	6374	6027
257	6400	6003
258	6427	5981
259	6451	5955
260	6481	5935
261	6509	5913
262	6537	5891
263	6564	5867
264	6590	5844
265	6614	5818
266	6640	5795
267	6668	5772
268	6692	5747
269	6722	5726
270	6750	5704
271	6778	5681
272	6806	5659
273	6832	5635
274	6860	5613
275	6886	5589
276	6914	5566
277	6938	5540
278	6963	5516
279	6988	5490
280	7013	5466
281	7040	5443
282	7067	5419
283	7095	5396
284	7123	5373
285	7156	5355
286	7183	5331
287	7207	5305
288	7234	5282
289	7261	5258
290	7288	5234
291	7313	5209
292	7338	5184
293	7366	5161
294	7394	5138
295	7425	5117
296	7452	5093
297	7478	5069
298	7507	5046
299	7535	5023
300	7564	5001
301	7590	4976
302	7616	4952
303	7643	4927
304	7672	4905
305	7697	4880
306	7718	4852
307	7744	4827
308	7768	4801
309	7795	4777
310	7824	4754
311	7851	4730
312	7876	4705
313	7902	4681
314	7928	4656
315	7952	4630
316	7977	4605
317	8004	4581
318	8029	4555
319	8055	4531
320	8082	4506
321	8107	4481
322	8134	4457
323	8162	4433
324	8188	4409
325	8215	4385
326	8242	4360
327	8268	4336
328	8295	4311
329	8320	4286
330	8348	4262
331	8374	4237
332	8402	4213
333	8430	4189
334	8457	4165
335	8484	4141
336	8512	4117
337	8539	4092
338	8569	4069
339	8598	4046
340	8628	4023
341	8652	3997
342	8681	3973
343	8710	3949
344	8737	3925
345	8763	3900
346	8790	3876
347	8822	3853
348	8848	3828
349	8875	3803
350	8904	3779
351	8931	3755
352	8960	3731
353	8990	3707
354	9017	3683
355	9045	3658
356	9073	3634
357	9099	3609
358	9127	3584
359	9156	3560
360	9184	3536
361	9209	3510
362	9240	3487
363	9265	3461
364	9292	3436
365	9320	3412
366	9347	3387
367	9374	3362
368	9400	3337
369	9425	3311
370	9449	3285
371	9479	3261
372	9507	3237
373	9538	3213
374	9564	3188
375	9589	3162
376	9618	3138
377	9644	3112
378	9672	3087
379	9698	3062
380	9724	3037
381	9750	3012
382	9778	2987
383	9803	2961
384	9826	2935
385	9850	2909
386	9877	2884
387	9906	2859
388	9931	2833
389	9960	2809
390	9988	2784
391	10014	2759
392	10040	2733
393	10068	2708
394	10092	2682
395	10115	2656
396	10141	2631
397	10166	2605
398	10192	2580
399	10219	2554
400	10246	2529
401	10276	2505
402	10301	2479
403	10330	2454
404	10357	2429
405	10384	2404
406	10412	2379
407	10439	2354
408	10465	2328
409	10492	2303
410	10518	2277
411	10541	2251
412	10567	2226
413	10593	2200
414	10617	2174
415	10642	2148
416	10668	2123
417	10694	2097
418	10720	2072
419	10744	2046
420	10767	2020
421	10793	1994
422	10820	1969
423	10846	1944
424	10873	1918
425	10898	1893
426	10923	1867
427	10948	1841
428	10974	1816
429	11000	1790
430	11027	1765
431	11051	1739
432	11076	1713
433	11100	1688
434	11125	1662
435	11150	1636
436	11176	1611
437	11200	1585
438	11225	1559
439	11250	1534
440	11278	1508
441	11305	1483
442	11330	1457
443	11356	1432
444	11382	1406
445	11409	1381
446	11427	1354
447	11451	1329
448	11477	1303
449	11502	1278
450	11528	1252
451	11556	1227
452	11584	1201
453	11611	1176
454	11642	1151
455	11669	1125
456	11695	1100
457	11720	1074
458	11744	1049
459	11793	1025
460	11830	1000
461	11857	975
462	11885	949
463	11911	924
464	11927	897
465	11955	872
466	11984	846
467	12011	821
468	12042	795
469	12072	770
470	12097	744
471	12122	719
472	12152	693
473	12178	668
474	12206	642
475	12231	616
476	12255	590
