iter	Passed	Remaining
0	2	2260
1	3	1785
2	4	1463
3	5	1431
4	7	1405
5	8	1393
6	9	1375
7	10	1356
8	12	1352
9	13	1337
10	14	1335
11	16	1334
12	17	1337
13	18	1331
14	20	1327
15	21	1320
16	22	1313
17	24	1319
18	25	1328
19	27	1333
20	28	1333
21	29	1330
22	31	1328
23	32	1329
24	34	1326
25	35	1322
26	36	1331
27	38	1335
28	39	1333
29	41	1330
30	42	1329
31	43	1325
32	45	1323
33	46	1320
34	47	1320
35	49	1319
36	50	1316
37	51	1313
38	53	1311
39	54	1311
40	56	1312
41	57	1310
42	58	1308
43	60	1306
44	61	1304
45	62	1303
46	64	1305
47	65	1305
48	67	1302
49	68	1299
50	69	1297
51	70	1293
52	72	1292
53	73	1291
54	75	1289
55	76	1291
56	78	1293
57	79	1292
58	80	1290
59	82	1289
60	83	1287
61	84	1285
62	86	1283
63	87	1283
64	89	1281
65	90	1280
66	91	1279
67	93	1277
68	94	1279
69	96	1277
70	97	1274
71	98	1272
72	100	1270
73	101	1270
74	103	1270
75	104	1268
76	105	1267
77	107	1265
78	108	1262
79	109	1260
80	110	1258
81	112	1255
82	113	1254
83	114	1253
84	116	1252
85	117	1252
86	119	1252
87	120	1251
88	122	1249
89	123	1247
90	124	1244
91	125	1243
92	127	1241
93	128	1240
94	129	1238
95	131	1236
96	132	1235
97	134	1236
98	135	1236
99	137	1235
100	138	1233
101	139	1231
102	141	1229
103	142	1228
104	143	1226
105	145	1223
106	146	1221
107	147	1219
108	148	1217
109	150	1217
110	152	1218
111	153	1217
112	154	1215
113	156	1212
114	157	1211
115	158	1210
116	160	1207
117	161	1209
118	163	1207
119	164	1205
120	165	1204
121	167	1205
122	169	1205
123	170	1204
124	171	1202
125	172	1199
126	174	1198
127	175	1196
128	177	1197
129	178	1196
130	180	1194
131	181	1194
132	183	1196
133	185	1197
134	186	1196
135	188	1195
136	189	1195
137	191	1193
138	192	1191
139	193	1189
140	194	1187
141	196	1186
142	197	1185
143	199	1184
144	200	1183
145	202	1182
146	203	1181
147	204	1179
148	206	1178
149	207	1176
150	208	1174
151	210	1173
152	211	1171
153	212	1169
154	214	1168
155	215	1168
156	217	1167
157	218	1166
158	220	1164
159	221	1163
160	222	1161
161	224	1160
162	225	1158
163	226	1156
164	228	1155
165	229	1153
166	231	1152
167	232	1152
168	234	1151
169	235	1150
170	236	1148
171	238	1146
172	239	1144
173	240	1143
174	242	1141
175	243	1139
176	244	1137
177	246	1136
178	247	1135
179	248	1134
180	250	1133
181	251	1132
182	253	1130
183	254	1128
184	255	1126
185	257	1124
186	258	1123
187	259	1121
188	261	1120
189	262	1118
190	263	1117
191	265	1116
192	266	1116
193	268	1115
194	269	1113
195	271	1112
196	272	1110
197	273	1109
198	275	1107
199	276	1105
200	277	1103
201	279	1102
202	280	1100
203	282	1100
204	283	1099
205	284	1098
206	286	1096
207	287	1094
208	288	1093
209	290	1092
210	291	1091
211	293	1089
212	294	1088
213	295	1086
214	297	1085
215	298	1085
216	300	1083
217	301	1081
218	302	1079
219	304	1078
220	305	1076
221	306	1075
222	308	1073
223	309	1071
224	310	1070
225	312	1068
226	313	1067
227	315	1066
228	316	1065
229	317	1064
230	319	1062
231	320	1061
232	321	1059
233	323	1057
234	324	1056
235	325	1054
236	327	1053
237	328	1051
238	329	1050
239	331	1049
240	332	1047
241	333	1046
242	335	1044
243	336	1042
244	337	1040
245	339	1039
246	340	1037
247	341	1036
248	343	1034
249	344	1033
250	345	1031
251	347	1030
252	348	1029
253	349	1027
254	351	1026
255	352	1024
256	353	1023
257	355	1022
258	356	1020
259	358	1019
260	359	1017
261	360	1016
262	362	1014
263	363	1013
264	364	1012
265	366	1010
266	367	1009
267	369	1007
268	370	1006
269	371	1004
270	373	1003
271	374	1002
272	375	1000
273	377	999
274	378	997
275	379	996
276	381	995
277	382	993
278	383	992
279	385	990
280	386	989
281	388	987
282	389	986
283	390	984
284	391	982
285	393	981
286	394	980
287	395	978
288	397	977
289	398	975
290	399	974
291	401	973
292	402	971
293	404	970
294	405	968
295	406	967
296	408	965
297	409	964
298	410	962
299	412	961
300	413	960
301	414	958
302	416	957
303	417	956
304	419	955
305	420	954
306	422	952
307	423	951
308	424	949
309	426	948
310	427	947
311	429	946
312	430	944
313	431	943
314	433	941
315	434	940
316	435	938
317	437	937
318	438	935
319	439	934
320	441	933
321	442	931
322	443	930
323	445	929
324	446	928
325	448	927
326	450	926
327	451	924
328	452	923
329	453	921
330	455	920
331	456	919
332	458	917
333	459	916
334	461	915
335	462	914
336	464	913
337	465	911
338	466	910
339	468	908
340	469	907
341	470	905
342	472	904
343	473	903
344	474	901
345	476	900
346	477	899
347	479	898
348	481	897
349	482	896
350	483	894
351	485	893
352	486	891
353	487	890
354	489	888
355	490	887
356	491	885
357	493	884
358	494	883
359	496	882
360	497	881
361	499	879
362	500	878
363	501	876
364	503	875
365	504	873
366	505	872
367	507	870
368	508	869
369	509	867
370	511	866
371	512	865
372	514	864
373	515	862
374	516	861
375	518	859
376	519	858
377	520	856
378	522	855
379	523	853
380	524	852
381	526	851
382	527	850
383	529	849
384	530	847
385	532	846
386	533	844
387	534	843
388	535	841
389	537	840
390	538	838
391	539	837
392	541	836
393	542	834
394	544	833
395	545	831
396	546	830
397	548	829
398	549	827
399	550	826
400	552	824
401	553	823
402	554	821
403	556	820
404	557	819
405	559	818
406	560	816
407	562	815
408	563	814
409	564	812
410	566	811
411	567	809
412	568	808
413	570	806
414	571	805
415	572	804
416	574	802
417	575	801
418	577	800
419	578	799
420	580	797
421	581	796
422	582	794
423	583	793
424	585	791
425	586	790
426	587	788
427	589	787
428	590	786
429	592	784
430	593	783
431	595	782
432	596	780
433	597	779
434	599	778
435	600	776
436	601	775
437	603	773
438	604	772
439	605	770
440	607	769
441	608	768
442	609	766
443	611	765
444	612	764
445	614	762
446	615	761
447	616	759
