iter	MultiClass
0	1.831165305
1	1.692604296
2	1.578185994
3	1.48159446
4	1.409669125
5	1.342457443
6	1.288524773
7	1.237749837
8	1.20105342
9	1.164745916
10	1.127370791
11	1.09995292
12	1.068631097
13	1.040890153
14	1.012557826
15	0.9914098618
16	0.9728683284
17	0.95257184
18	0.9311308626
19	0.914536703
20	0.8970536091
21	0.8835859156
22	0.8724049069
23	0.856785747
24	0.844470993
25	0.8310554424
26	0.8197130345
27	0.8099894966
28	0.8005934735
29	0.7898108872
30	0.7794687898
31	0.7726996296
32	0.7633523258
33	0.7581445334
34	0.7492150727
35	0.7424278983
36	0.7359619218
37	0.7300645037
38	0.7222323509
39	0.7154578426
40	0.7106413568
41	0.7056514812
42	0.7025266534
43	0.6958384805
44	0.690153166
45	0.6826726039
46	0.6793417427
47	0.6745490213
48	0.6682441782
49	0.6626822962
50	0.6579721923
51	0.6527667397
52	0.6491873543
53	0.6442960855
54	0.6396258175
55	0.6354922965
56	0.6299566008
57	0.6263667685
58	0.6208620449
59	0.6169864662
60	0.6122395773
61	0.6093273506
62	0.605310868
63	0.6031521989
64	0.5996770114
65	0.596528806
66	0.5939554116
67	0.5894924054
68	0.5864858617
69	0.5841746365
70	0.5797192616
71	0.5769136987
72	0.5739376195
73	0.570341456
74	0.5673277029
75	0.5642634655
76	0.5611226982
77	0.5583353839
78	0.5565103474
79	0.5531239947
80	0.5500510665
81	0.5470117948
82	0.5445666978
83	0.5418666033
84	0.5398838854
85	0.5361619859
86	0.5342186102
87	0.5319229957
88	0.5293304874
89	0.5276462106
90	0.5242932533
91	0.5224583815
92	0.5197363928
93	0.5168766092
94	0.5145924017
95	0.512326787
96	0.5090526382
97	0.5065118555
98	0.5034194441
99	0.5008536614
100	0.4981598065
101	0.4946298295
102	0.4923954075
103	0.4896798606
104	0.4873639344
105	0.485825305
106	0.483928161
107	0.4810861578
108	0.478114767
109	0.4762739947
110	0.4745984618
111	0.4733770201
112	0.4711409895
113	0.4680922391
114	0.467204662
115	0.4656183677
116	0.4642303047
117	0.4616685262
118	0.4598682773
119	0.4581503089
120	0.4565034983
121	0.4543248033
122	0.4525995548
123	0.4501167883
124	0.4470646476
125	0.4448216771
126	0.4436006044
127	0.4423032576
128	0.4393043562
129	0.4378520744
130	0.4363318374
131	0.4342953795
132	0.4320048264
133	0.4296197191
134	0.4284948165
135	0.4271774571
136	0.4252752132
137	0.4233508414
138	0.4226510961
139	0.4211687315
140	0.4204843261
141	0.4189021672
142	0.4168023903
143	0.4151653339
144	0.4137889653
145	0.4124651103
146	0.4109917628
147	0.4094542287
148	0.4077981024
149	0.4055609613
150	0.4031781241
151	0.4020695997
152	0.4003748277
153	0.3987145861
154	0.3972276888
155	0.3956977109
156	0.3937894134
157	0.3922080813
158	0.3902659121
159	0.3891266278
160	0.3877788199
161	0.3866071487
162	0.3856191253
163	0.3843766043
164	0.3826798304
165	0.38119233
166	0.3804543673
167	0.3787474055
168	0.3780720927
169	0.3763314106
170	0.3752961571
